"Link","Headline","Category","Description","Author","Date"
,"Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters","U.S. NEWS","Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.","Carla K. Johnson, AP","2022-09-23"
,"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video","U.S. NEWS","He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.","Mary Papenfuss","2022-09-23"
,"23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23)","COMEDY","""Until you have a dog you don't understand what could be eaten.""","Elyse Wanshel","2022-09-23"
,"The Funniest Tweets From Parents This Week (Sept. 17-23)","PARENTING","""Accidentally put grown-up toothpaste on my toddler’s toothbrush and he screamed like I was cleaning his teeth with a Carolina Reaper dipped in Tabasco sauce.""","Caroline Bologna","2022-09-23"
,"Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer","U.S. NEWS","Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.","Nina Golgowski","2022-09-22"
,"Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police","U.S. NEWS","The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.","","2022-09-22"
,"Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV","U.S. NEWS","""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.","Elyse Wanshel","2022-09-22"
,"Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage","WORLD NEWS","More than half a million people remained without water service three days after the storm lashed the U.S. territory.","DÁNICA COTO, AP","2022-09-22"
,"How A New Documentary Captures The Complexity Of Being A Child Of Immigrants","CULTURE & ARTS","In ""Mija,"" director Isabel Castro combined music documentaries with the style of ""Euphoria"" and ""Clueless"" to tell a more nuanced immigration story.","Marina Fang","2022-09-22"
,"Biden At UN To Call Russian War An Affront To Body's Charter","WORLD NEWS","White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.","Aamer Madhani, AP","2022-09-21"
,"World Cup Captains Want To Wear Rainbow Armbands In Qatar","WORLD NEWS","FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.","GRAHAM DUNBAR, AP","2022-09-21"
,"Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe","WORLD NEWS","The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.","Mari Yamaguchi, AP","2022-09-21"
,"Fiona Threatens To Become Category 4 Storm Headed To Bermuda","WORLD NEWS","Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.","Dánica Coto, AP","2022-09-21"
,"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000","TECH","One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.","Ben Blanchet","2022-09-21"
,"Virginia Thomas Agrees To Interview With Jan. 6 Panel","U.S. NEWS","Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.","Eric Tucker and Mary Clare Jalonick, AP","2022-09-21"
,"Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80","WORLD NEWS","Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.","Marco Margaritoff","2022-09-20"
,"'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots","CULTURE & ARTS","Starring Keegan-Michael Key, Judy Greer and Johnny Knoxville, the Hulu show follows the revival of a fictional early 2000s sitcom.","Marina Fang and Candice Frederick","2022-09-20"
,"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89","SPORTS","Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.","Beth Harris, AP","2022-09-20"
,"4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia","WORLD NEWS","The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.","Jon Gambrell, AP","2022-09-20"
,"Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane","WORLD NEWS","The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.","Dánica Coto, AP","2022-09-20"
,"Golden Globes Returning To NBC In January After Year Off-Air","ENTERTAINMENT","For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.","","2022-09-20"
,"Biden Says U.S. Forces Would Defend Taiwan If China Invaded","POLITICS","President issues vow as tensions with China rise.","","2022-09-19"
,"Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico","WORLD NEWS","The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”","Danica Coto, AP","2022-09-19"
,"One Dead After Plane Crashes At Reno Air Race","U.S. NEWS","The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.","Nina Golgowski","2022-09-19"
,"‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year","POLITICS","An annual celebration took on a different feel as Russia's invasion dragged into Day 206.","Jonathan Nicholson","2022-09-19"
,"Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap","U.S. NEWS","Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.","Eric Tucker and Rahim Faiez, AP","2022-09-19"
,"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP","SPORTS","Las Vegas never had a professional sports champion — until Sunday.","Pat Eaton-Robb, AP","2022-09-19"
,"World Leaders Pay Respects To Queen Elizabeth II","WORLD NEWS","President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.","Mike Corder, Jill Lawless and Danica Kirka, AP","2022-09-18"
,"James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release","ENTERTAINMENT","The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""","Ben Blanchet","2022-09-18"
,"'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb","WEIRD NEWS","Alain Robert, known as the ""French Spider-Man,"" has climbed the Burj Khalifa and the Empire State Building.","Ben Blanchet","2022-09-18"
,"Biden Says Queen's Death Left 'Giant Hole' For Royal Family","POLITICS","U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.","Darlene Superville, AP","2022-09-18"
,"Watchdog Report Finds Some Census Takers Who Fudged 2020 Data Didn’t Get Fired","U.S. NEWS","Despite entering false information, their work wasn't redone fully and in some cases the census takers received bonuses, the Office of Inspector General reported.","","2022-09-18"
,"First Public Global Database Of Fossil Fuels Launches","ENVIRONMENT","On Monday, the world’s first public database of fossil fuel production, reserves and emissions launches.","Drew Costley, AP","2022-09-18"
,"Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth","WORLD NEWS","The 19-year-old reportedly fled into the Thames in a failed bid to escape police.","Mary Papenfuss","2022-09-17"
,"Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast","ENVIRONMENT","“In 10 years, people will be referring to the September 2022 storm as a benchmark storm.”","BECKY BOHRER, MARK THIESSEN and JOHN ANTCZAK, AP","2022-09-17"
,"Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches","ENVIRONMENT","Puerto Rico was under a hurricane watch Saturday as the storm barreled towards the U.S. territory.","DÁNICA COTO, AP","2022-09-17"
,"WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan","WORLD NEWS","The World Health Organization is raising the alarm about a “second disaster” in the wake of the deadly floods in Pakistan this summer, as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases.","ZARAR KHAN, AP","2022-09-17"
,"Privatization Isn’t The Answer To Jackson’s Water Crisis","ENVIRONMENT","Studies have repeatedly shown that ending public administration of water supplies doesn’t work — but that’s now on the table in Mississippi.","Nathalie Baptiste","2022-09-17"
,"German Customs Officials Follow Trail Of Slime And Find Bags Of Giant Snails","WEIRD NEWS","“Never in the history of the Duesseldorf customs office has a trail of slime led us to smuggled goods,” spokesman Michael Walk told the media.","","2022-09-16"
,"Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott","ENTERTAINMENT","The director of the original 1982 film joins a writer of the 2017 sequel for the newest installment in the sci-fi franchise.","Marco Margaritoff","2022-09-16"
,"Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate","POLITICS","Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.","Hamed Ahmadi and Arthur Delaney","2022-09-16"
,"Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast","U.S. NEWS","Sarah Collins Rudolph lost an eye and has pieces of glass inside her body from a Ku Klux Klan bombing that killed her sister and three other Black girls inside an Alabama church 59 years ago.","Jay Reeves, AP","2022-09-16"
,"Racism Seen As Root Of Water Crisis In Mississippi Capital","U.S. NEWS","A boil-water advisory has been lifted for Mississippi's capital, and the state will stop handing out free bottled water on Saturday.","DREW COSTLEY, AP","2022-09-16"
,"'The Phantom Of The Opera' To Close On Broadway Next Year","ENTERTAINMENT","“The Phantom of the Opera” — Broadway’s longest-running show — is scheduled to close in February 2023, a victim of post-pandemic softening in theater attendance in New York.","Mark Kennedy, AP","2022-09-16"
,"Mark Meadows Complies With Justice Dept. Subpoena: Report","POLITICS","The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.","ERIC TUCKER, AP","2022-09-15"
,"Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better","CULTURE & ARTS","The Colombian-American author's new book ""Lightlark"" was rejected numerous times — until she went directly to her readers for support.","Marilyn La Jeunesse","2022-09-15"
,"Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked","U.S. NEWS","Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life.","Marco Margaritoff","2022-09-15"
